# Episodio, Score_Promedio_50ep
1584, 226.13
1585, 226.82
1586, 226.89
1587, 227.46
1588, 227.34
1589, 223.21
1590, 227.68
1591, 228.20
1592, 228.94
1593, 228.95
1594, 229.15
1595, 229.26
1596, 228.98
1597, 229.08
1598, 229.01
1599, 229.88
